gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
80,0,0,450,310,-6.50000000
81,0,0,450,438,-6.50000000
82,0,0,450,382,-6.50000000
83,1,1,442,316,-7.25000000
84,1,1,434,268,-8.00000000
85,0,1,425,250,-8.62500000
86,0,1,418,222,-6.75000000
87,1,1,413,185,-5.00000000
88,1,1,407,159,-5.87500000
89,0,1,400,137,-6.62500000
90,1,1,395,110,-4.87500000
91,1,1,389,83,-5.75000000
92,1,1,382,56,-6.50000000
93,1,1,374,28,-7.12500000
94,0,1,366,23,-7.75000000
95,1,1,360,-6,-5.75000000
96,0,1,353,-11,-6.37500000
97,0,1,348,-23,-4.37500000
98,1,1,345,-53,-2.50000000
