gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
19,0,0,324,220,-7.75000000
20,0,0,324,276,-7.75000000
21,0,0,324,286,-7.75000000
22,0,1,314,244,-9.75000000
23,0,1,307,212,-6.25000000
24,0,1,304,189,-2.75000000
25,1,1,304,156,0.75000000
26,0,1,302,148,-1.25000000
27,0,1,303,115,1.75000000
28,0,1,307,96,4.75000000
29,0,1,314,75,7.25000000
30,0,1,323,49,9.25000000
31,1,1,333,19,10.75000000
32,1,1,339,-11,6.75000000
33,1,1,341,-41,2.75000000
34,1,1,340,-71,-0.75000000
35,1,1,336,-101,-3.75000000
36,1,1,329,-132,-6.25000000
37,1,1,320,-164,-8.75000000
