gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,309,435,-2.50000000
2,0,0,309,451,-2.50000000
3,0,0,309,495,-2.50000000
4,0,1,308,489,-1.00000000
5,0,1,308,473,0.50000000
6,0,1,310,425,2.00000000
7,0,1,313,417,3.50000000
8,0,1,317,407,4.50000000
9,0,1,322,405,5.00000000
10,0,1,327,387,5.50000000
11,0,1,332,377,5.50000000
12,1,1,337,315,5.50000000
13,0,1,337,265,0.50000000
14,0,1,338,225,1.00000000
15,1,1,339,181,1.50000000
16,0,1,336,162,-3.00000000
17,0,1,334,156,-2.00000000
18,0,1,333,128,-1.00000000
19,0,1,333,122,0.00000000
20,0,1,334,114,1.00000000
21,0,1,336,108,2.00000000
22,0,1,339,86,3.00000000
23,0,1,343,77,4.00000000
24,0,1,347,61,4.50000000
25,0,1,352,37,5.00000000
26,0,1,357,23,5.50000000
27,1,1,362,-6,5.50000000
28,0,1,362,-19,0.50000000
29,0,1,363,-25,1.00000000
30,0,1,364,-38,1.50000000
