gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,0,558,0.00000000
2,0,0,0,358,0.00000000
3,0,0,0,354,0.00000000
4,0,1,443,350,0.00000000
5,0,1,468,334,25.00000000
6,1,1,486,290,18.75000000
7,0,1,486,284,0.00000000
8,1,1,492,240,6.25000000
9,1,1,491,197,-1.00000000
10,1,1,486,175,-4.86111111
11,1,1,478,153,-7.14285714
12,1,1,469,131,-8.59375000
13,0,1,459,123,-9.56790123
14,0,1,453,123,-5.25000000
15,1,1,450,100,-2.06611570
16,1,1,446,76,-3.81944444
17,1,1,440,52,-5.17751479
18,1,1,433,28,-6.25000000
19,0,1,425,26,-7.11111111
20,1,1,420,1,-4.68750000
