subId,roundId,group,isTestGame,successInStatic,gameNumber,gameInterval,previousIntervalChange,pressesToSuccess,duration
KH1,1,2,1,0,1,450.00000000,0.00000000,19,2360
KH1,1,2,1,1,2,430.00000000,0.00000000,0,10831
KH1,1,2,1,1,3,410.00000000,0.00000000,0,10749
KH1,1,2,1,0,4,390.00000000,0.00000000,2,10302
KH1,1,2,1,1,5,370.00000000,0.00000000,0,10547
KH1,1,2,1,1,6,350.00000000,0.00000000,0,10688
KH1,1,2,1,0,7,330.00000000,0.00000000,1,11254
KH1,1,2,1,1,8,310.00000000,0.00000000,0,10932
KH1,1,2,1,0,9,290.00000000,0.00000000,14,6900
KH1,1,2,1,0,10,270.00000000,0.00000000,32,2519
KH1,1,2,1,0,11,250.00000000,0.00000000,24,5344
KH1,2,2,0,1,12,400.00000000,0.00000000,0,10664
KH1,2,2,0,0,13,350.00000000,-50.00000000,20,4071
KH1,2,2,0,1,14,362.50000000,12.50000000,0,10718
KH1,2,2,0,0,15,351.38888889,-11.11111111,5,9165
KH1,2,2,0,0,16,357.63888889,6.25000000,3,9368
KH1,2,2,0,0,17,371.63888889,14.00000000,25,2129
KH1,2,2,0,1,18,389.69444444,18.05555556,0,10632
KH1,2,2,0,0,19,395.81689342,6.12244898,15,5315
KH1,2,2,0,1,20,406.75439342,10.93750000,0,10776
KH1,2,2,0,1,21,409.84081318,3.08641975,0,10911
KH1,2,2,0,1,22,407.34081318,-2.50000000,0,10821
KH1,2,2,0,1,23,400.72924293,-6.61157025,0,10611
KH1,2,2,0,0,24,391.00702071,-9.72222222,24,1955
KH1,2,2,0,1,25,386.56915088,-4.43786982,0,10581
KH1,2,2,0,0,26,379.17119170,-7.39795918,14,5398
KH1,2,2,0,0,27,376.06008059,-3.11111111,25,1432
KH1,2,2,0,1,28,376.50452503,0.44444444,0,10757
KH1,3,2,0,1,29,373.39341392,-3.11111111,0,10626
KH1,3,2,0,1,30,367.17119170,-6.22222222,0,10807
KH1,3,2,0,0,31,357.83785837,-9.33333333,7,8427
KH1,3,2,0,1,32,352.50452503,-5.33333333,0,10826
KH1,3,2,0,1,33,344.50452503,-8.00000000,0,10794
KH1,3,2,0,1,34,334.28230281,-10.22222222,0,10634
KH1,3,2,0,0,35,321.83785837,-12.44444444,28,2088
KH1,3,2,0,0,36,314.28230281,-7.55555556,20,4555
KH1,3,2,0,0,37,311.17119170,-3.11111111,30,2133
KH1,3,2,0,0,38,312.06008059,0.88888889,11,7341
KH1,3,2,0,0,39,316.50452503,4.44444444,4,9687
KH1,3,2,0,0,40,324.06008059,7.55555556,19,4467
KH1,3,2,0,0,41,334.72674726,10.66666667,24,2893
KH1,3,2,0,1,42,348.06008059,13.33333333,0,10577
KH1,3,2,0,0,43,357.39341392,9.33333333,2,9741
KH1,3,2,0,0,44,369.83785837,12.44444444,10,7049
KH1,3,2,0,1,45,384.94896948,15.11111111,0,10489
KH1,4,2,0,1,46,395.61563615,10.66666667,0,10824
KH1,4,2,0,0,47,401.83785837,6.22222222,1,10569
KH1,4,2,0,0,48,410.72674726,8.88888889,23,1226
KH1,4,2,0,1,49,421.83785837,11.11111111,0,10674
KH1,4,2,0,1,50,428.06008059,6.22222222,0,10950
KH1,4,2,0,0,51,429.39341392,1.33333333,1,10305
KH1,4,2,0,0,52,432.94896948,3.55555556,17,3475
KH1,4,2,0,1,53,438.72674726,5.77777778,0,10623
KH1,4,2,0,1,54,440.06008059,1.33333333,0,10728
KH1,4,2,0,1,55,437.39341392,-2.66666667,0,10577
KH1,4,2,0,1,56,431.17119170,-6.22222222,0,10536
KH1,4,2,0,1,57,421.83785837,-9.33333333,0,10605
KH1,4,2,0,1,58,409.83785837,-12.00000000,0,10842
KH1,4,2,0,1,59,395.17119170,-14.66666667,0,10919
KH1,4,2,0,1,60,378.28230281,-16.88888889,0,10782
KH1,5,2,1,1,61,450.00000000,-16.88888889,0,10426
KH1,5,2,1,1,62,430.00000000,-16.88888889,0,10850
KH1,5,2,1,1,63,410.00000000,-16.88888889,0,10857
KH1,5,2,1,1,64,390.00000000,-16.88888889,0,10622
KH1,5,2,1,1,65,370.00000000,-16.88888889,0,10472
KH1,5,2,1,1,66,350.00000000,-16.88888889,0,10670
KH1,5,2,1,0,67,330.00000000,-16.88888889,4,9722
KH1,5,2,1,1,68,310.00000000,-16.88888889,0,10814
KH1,5,2,1,0,69,290.00000000,-16.88888889,31,1999
KH1,5,2,1,0,70,270.00000000,-16.88888889,26,4050
KH1,5,2,1,0,71,250.00000000,-16.88888889,30,3487
KH1,6,2,0,0,72,359.61563615,-18.66666667,0,10535
KH1,6,2,0,0,73,345.83785837,-13.77777778,2,10225
KH1,6,2,0,0,74,336.50452503,-9.33333333,5,9514
KH1,6,2,0,1,75,331.61563615,-4.88888889,0,10807
KH1,6,2,0,0,76,324.50452503,-7.11111111,13,6863
KH1,6,2,0,1,77,321.83785837,-2.66666667,0,10880
KH1,6,2,0,0,78,316.50452503,-5.33333333,6,9072
KH1,6,2,0,1,79,315.61563615,-0.88888889,0,10591
KH1,6,2,0,0,80,312.50452503,-3.11111111,13,6724
KH1,6,2,0,0,81,313.83785837,1.33333333,8,8013
KH1,6,2,0,0,82,319.17119170,5.33333333,14,6548
KH1,6,2,0,0,83,328.06008059,8.88888889,19,4746
KH1,6,2,0,1,84,340.06008059,12.00000000,0,10719
KH1,6,2,0,1,85,348.06008059,8.00000000,0,10662
KH1,6,2,0,1,86,352.06008059,4.00000000,0,10818
KH1,7,2,0,1,87,352.06008059,-0.00000000,0,10787
KH1,7,2,0,0,88,348.06008059,-4.00000000,28,1306
KH1,7,2,0,1,89,347.17119170,-0.88888889,0,10596
KH1,7,2,0,1,90,342.72674726,-4.44444444,0,10745
KH1,7,2,0,1,91,335.17119170,-7.55555556,0,10585
KH1,7,2,0,0,92,324.50452503,-10.66666667,29,1685
KH1,7,2,0,0,93,317.83785837,-6.66666667,10,7977
KH1,7,2,0,0,94,314.72674726,-3.11111111,21,3939
KH1,7,2,0,0,95,315.17119170,0.44444444,8,8402
KH1,7,2,0,1,96,318.72674726,3.55555556,0,10785
KH1,7,2,0,0,97,318.72674726,0.00000000,18,4868
KH1,7,2,0,1,98,322.28230281,3.55555556,0,10890
KH1,7,2,0,0,99,322.72674726,0.44444444,20,3996
KH1,7,2,0,1,100,327.17119170,4.44444444,0,10765
KH1,7,2,0,1,101,328.50452503,1.33333333,0,10669
KH1,7,2,0,0,102,326.72674726,-1.77777778,14,5963
KH1,7,2,0,1,103,328.50452503,1.77777778,0,10823
KH1,8,2,0,0,104,326.72674726,-1.77777778,30,1266
KH1,8,2,0,1,105,328.50452503,1.77777778,0,10679
KH1,8,2,0,0,106,326.72674726,-1.77777778,9,8197
KH1,8,2,0,0,107,328.06008059,1.33333333,13,6385
KH1,8,2,0,0,108,332.06008059,4.00000000,2,10546
KH1,8,2,0,1,109,338.72674726,6.66666667,0,10733
KH1,8,2,0,0,110,341.39341392,2.66666667,23,3220
KH1,8,2,0,1,111,347.17119170,5.77777778,0,10553
KH1,8,2,0,0,112,349.39341392,2.22222222,1,10415
KH1,8,2,0,0,113,354.72674726,5.33333333,23,3111
KH1,8,2,0,1,114,363.17119170,8.44444444,0,10743
KH1,8,2,0,0,115,367.61563615,4.44444444,8,8116
KH1,8,2,0,1,116,375.17119170,7.55555556,0,10631
KH1,8,2,0,1,117,378.72674726,3.55555556,0,10821
KH1,8,2,0,0,118,378.28230281,-0.44444444,21,2672
KH1,8,2,0,1,119,380.94896948,2.66666667,0,10883
KH1,8,2,0,1,120,379.61563615,-1.33333333,0,10759
KH1,9,2,1,0,121,450.00000000,-1.33333333,14,4334
KH1,9,2,1,1,122,430.00000000,-1.33333333,0,10915
KH1,9,2,1,0,123,410.00000000,-1.33333333,1,10794
KH1,9,2,1,1,124,390.00000000,-1.33333333,0,10629
KH1,9,2,1,1,125,370.00000000,-1.33333333,0,10484
KH1,9,2,1,1,126,350.00000000,-1.33333333,0,10875
KH1,9,2,1,0,127,330.00000000,-1.33333333,17,5170
KH1,9,2,1,1,128,310.00000000,-1.33333333,0,10750
KH1,9,2,1,0,129,290.00000000,-1.33333333,17,6051
KH1,9,2,1,0,130,270.00000000,-1.33333333,9,8786
KH1,9,2,1,0,131,250.00000000,-1.33333333,36,2061
KH1,10,2,0,1,132,374.72674726,-4.88888889,0,10624
KH1,10,2,0,1,133,366.28230281,-8.44444444,0,10783
KH1,10,2,0,1,134,354.72674726,-11.55555556,0,10902
KH1,10,2,0,1,135,340.50452503,-14.22222222,0,10709
KH1,10,2,0,0,136,324.06008059,-16.44444444,4,9625
KH1,10,2,0,1,137,312.06008059,-12.00000000,0,10814
KH1,10,2,0,1,138,297.83785837,-14.22222222,0,10739
KH1,10,2,0,0,139,281.39341392,-16.44444444,36,873
KH1,10,2,0,0,140,269.83785837,-11.55555556,9,8707
KH1,10,2,0,0,141,263.17119170,-6.66666667,13,7478
KH1,10,2,0,0,142,260.94896948,-2.22222222,37,1084
KH1,10,2,0,0,143,263.17119170,2.22222222,25,4213
KH1,10,2,0,0,144,269.39341392,6.22222222,19,5954
KH1,10,2,0,0,145,279.17119170,9.77777778,3,10186
KH1,10,2,0,0,146,292.50452503,13.33333333,10,8202
KH1,10,2,0,0,147,308.94896948,16.44444444,31,1053
KH1,10,2,0,1,148,328.06008059,19.11111111,0,10749
KH1,11,2,0,1,149,342.72674726,14.66666667,0,10703
KH1,11,2,0,1,150,352.94896948,10.22222222,0,10826
KH1,11,2,0,1,151,358.72674726,5.77777778,0,10492
KH1,11,2,0,1,152,360.06008059,1.33333333,0,10587
KH1,11,2,0,1,153,357.39341392,-2.66666667,0,10628
KH1,11,2,0,0,154,350.72674726,-6.66666667,2,10383
KH1,11,2,0,0,155,346.72674726,-4.00000000,12,6786
KH1,11,2,0,0,156,345.39341392,-1.33333333,1,10210
KH1,11,2,0,1,157,346.72674726,1.33333333,0,10527
KH1,11,2,0,0,158,344.06008059,-2.66666667,25,2465
KH1,11,2,0,0,159,344.50452503,0.44444444,10,7755
KH1,11,2,0,0,160,348.06008059,3.55555556,0,11005
KH1,11,2,0,1,161,354.72674726,6.66666667,0,11007
KH1,11,2,0,0,162,357.83785837,3.11111111,3,9830
KH1,11,2,0,1,163,364.50452503,6.66666667,0,10843
KH1,12,2,0,1,164,368.06008059,3.55555556,0,10938
KH1,12,2,0,0,165,368.50452503,0.44444444,23,2469
KH1,12,2,0,1,166,372.50452503,4.00000000,0,10585
KH1,12,2,0,0,167,372.94896948,0.44444444,7,8363
KH1,12,2,0,0,168,376.50452503,3.55555556,26,1732
