subId,roundId,group,isTestGame,successInStatic,gameNumber,gameInterval,previousIntervalChange,pressesToSuccess,duration
KH2,1,1,1,1,1,450.00000000,0.00000000,0,10524
KH2,1,1,1,1,2,430.00000000,0.00000000,0,10893
KH2,1,1,1,1,3,410.00000000,0.00000000,0,10827
KH2,1,1,1,0,4,390.00000000,0.00000000,5,9527
KH2,1,1,1,0,5,370.00000000,0.00000000,2,10898
KH2,1,1,1,1,6,350.00000000,0.00000000,0,10872
KH2,1,1,1,0,7,330.00000000,0.00000000,9,8584
KH2,1,1,1,0,8,310.00000000,0.00000000,29,2473
KH2,1,1,1,0,9,290.00000000,0.00000000,30,2559
KH2,1,1,1,0,10,270.00000000,0.00000000,32,2454
KH2,1,1,1,0,11,250.00000000,0.00000000,37,1930
KH2,2,1,0,1,12,400.00000000,0.00000000,0,10546
KH2,2,1,0,0,13,320.00000000,-80.00000000,27,2587
KH2,2,1,0,0,14,310.00000000,-10.00000000,28,2508
KH2,2,1,0,0,15,312.22222222,2.22222222,31,1544
KH2,2,1,0,0,16,318.47222222,6.25000000,20,4777
KH2,2,1,0,0,17,326.47222222,8.00000000,12,7040
KH2,2,1,0,0,18,335.36111111,8.88888889,25,2578
KH2,2,1,0,0,19,344.74886621,9.38775510,11,7430
KH2,2,1,0,0,20,354.43636621,9.68750000,27,1647
KH2,2,1,0,0,21,364.31290942,9.87654321,10,7808
KH2,2,1,0,0,22,374.31290942,10.00000000,21,3535
KH2,2,1,0,0,23,384.39555405,10.08264463,27,900
KH2,2,1,0,0,24,394.53444294,10.13888889,18,4134
KH2,2,1,0,0,25,404.71195773,10.17751479,19,3326
KH2,2,1,0,1,26,414.91603937,10.20408163,0,10767
KH2,2,1,0,0,27,418.47159492,3.55555556,13,7394
KH2,2,1,0,0,28,422.91603937,4.44444444,18,3584
KH2,2,1,0,0,29,427.80492825,4.88888889,10,7452
KH2,2,1,0,0,30,433.13826159,5.33333333,1,10924
KH2,2,1,0,0,31,438.91603937,5.77777778,16,4117
KH2,2,1,0,0,32,445.13826159,6.22222222,2,10417
KH2,2,1,0,1,33,451.80492825,6.66666667,0,10679
KH2,3,1,0,1,34,452.24937270,0.44444444,0,10792
KH2,3,1,0,1,35,446.91603937,-5.33333333,0,10974
KH2,3,1,0,0,36,436.24937270,-10.66666667,11,6288
KH2,3,1,0,1,37,427.36048381,-8.88888889,0,10916
KH2,3,1,0,1,38,413.58270603,-13.77777778,0,10846
KH2,3,1,0,0,39,395.36048381,-18.22222222,5,9786
KH2,3,1,0,0,40,379.80492825,-15.55555556,4,9796
KH2,3,1,0,0,41,366.91603937,-12.88888889,12,6758
KH2,3,1,0,0,42,356.69381714,-10.22222222,20,4146
KH2,3,1,0,0,43,348.69381714,-8.00000000,14,6149
KH2,3,1,0,0,44,342.91603937,-5.77777778,25,3032
KH2,3,1,0,0,45,339.36048381,-3.55555556,17,5572
KH2,3,1,0,0,46,338.02715048,-1.33333333,18,4849
KH2,3,1,0,0,47,338.91603937,0.88888889,28,1373
KH2,3,1,0,0,48,342.02715048,3.11111111,15,5982
KH2,3,1,0,0,49,347.36048381,5.33333333,21,3760
KH2,3,1,0,0,50,354.47159492,7.11111111,22,3502
KH2,3,1,0,0,51,362.91603937,8.44444444,2,10243
KH2,3,1,0,0,52,372.24937270,9.33333333,18,4307
KH2,4,1,0,0,53,382.47159492,10.22222222,18,4437
KH2,4,1,0,0,54,393.13826159,10.66666667,15,4824
KH2,4,1,0,0,55,403.80492825,10.66666667,24,1478
KH2,4,1,0,0,56,414.47159492,10.66666667,3,10128
KH2,4,1,0,0,57,425.13826159,10.66666667,9,7433
KH2,4,1,0,0,58,435.80492825,10.66666667,9,7240
KH2,4,1,0,0,59,446.47159492,10.66666667,4,9355
KH2,4,1,0,1,60,457.13826159,10.66666667,0,10746
KH2,4,1,0,0,61,461.13826159,4.00000000,22,1094
KH2,4,1,0,1,62,465.58270603,4.44444444,0,10955
KH2,4,1,0,0,63,463.80492825,-1.77777778,12,5744
KH2,4,1,0,0,64,462.91603937,-0.88888889,4,9443
KH2,4,1,0,0,65,462.91603937,0.00000000,18,2524
KH2,4,1,0,0,66,463.80492825,0.88888889,12,5249
KH2,4,1,0,1,67,465.58270603,1.77777778,0,10998
KH2,4,1,0,0,68,461.58270603,-4.00000000,13,5223
KH2,4,1,0,1,69,458.91603937,-2.66666667,0,10696
KH2,4,1,0,1,70,450.91603937,-8.00000000,0,10578
KH2,5,1,1,1,71,450.00000000,-8.00000000,0,10917
KH2,5,1,1,1,72,430.00000000,-8.00000000,0,10541
KH2,5,1,1,1,73,410.00000000,-8.00000000,0,10504
KH2,5,1,1,1,74,390.00000000,-8.00000000,0,10718
KH2,5,1,1,0,75,370.00000000,-8.00000000,16,5476
KH2,5,1,1,1,76,350.00000000,-8.00000000,0,10649
KH2,5,1,1,0,77,330.00000000,-8.00000000,26,2563
KH2,5,1,1,0,78,310.00000000,-8.00000000,4,9933
KH2,5,1,1,0,79,290.00000000,-8.00000000,22,4627
KH2,5,1,1,0,80,270.00000000,-8.00000000,35,1668
KH2,5,1,1,0,81,250.00000000,-8.00000000,36,2146
KH2,6,1,0,1,82,438.02715048,-12.88888889,0,10771
KH2,6,1,0,1,83,420.69381714,-17.33333333,0,10674
KH2,6,1,0,1,84,399.36048381,-21.33333333,0,10554
KH2,6,1,0,1,85,374.47159492,-24.88888889,0,10866
KH2,6,1,0,0,86,346.47159492,-28.00000000,4,9568
KH2,6,1,0,0,87,322.47159492,-24.00000000,16,6094
KH2,6,1,0,1,88,302.02715048,-20.44444444,0,10905
KH2,6,1,0,0,89,278.47159492,-23.55555556,33,1734
KH2,6,1,0,0,90,258.47159492,-20.00000000,36,1595
KH2,6,1,0,0,91,242.02715048,-16.44444444,32,3596
KH2,6,1,0,0,92,229.13826159,-12.88888889,39,2140
KH2,6,1,0,0,93,219.80492825,-9.33333333,42,1771
KH2,6,1,0,0,94,214.02715048,-5.77777778,46,1328
KH2,6,1,0,0,95,211.36048381,-2.66666667,46,1224
KH2,6,1,0,0,96,211.80492825,0.44444444,45,1366
KH2,6,1,0,0,97,214.91603937,3.11111111,43,1998
KH2,6,1,0,0,98,220.24937270,5.33333333,42,1728
KH2,6,1,0,0,99,227.36048381,7.11111111,41,1703
KH2,6,1,0,0,100,235.80492825,8.44444444,40,1446
KH2,6,1,0,0,101,245.13826159,9.33333333,38,1629
KH2,6,1,0,0,102,254.91603937,9.77777778,37,1562
KH2,6,1,0,0,103,265.13826159,10.22222222,36,1428
KH2,6,1,0,0,104,275.80492825,10.66666667,32,2307
KH2,6,1,0,0,105,286.47159492,10.66666667,11,7474
KH2,6,1,0,0,106,297.13826159,10.66666667,30,2157
KH2,7,1,0,0,107,307.80492825,10.66666667,33,659
KH2,7,1,0,0,108,318.47159492,10.66666667,30,1551
KH2,7,1,0,1,109,329.13826159,10.66666667,0,10840
KH2,7,1,0,0,110,333.13826159,4.00000000,5,9579
KH2,7,1,0,0,111,337.58270603,4.44444444,15,6125
KH2,7,1,0,0,112,342.47159492,4.88888889,26,2375
KH2,7,1,0,1,113,347.80492825,5.33333333,0,10744
KH2,7,1,0,0,114,346.91603937,-0.88888889,1,10724
KH2,7,1,0,0,115,346.91603937,0.00000000,22,3204
KH2,7,1,0,0,116,347.80492825,0.88888889,8,8219
KH2,7,1,0,1,117,349.58270603,1.77777778,0,10844
KH2,7,1,0,0,118,345.58270603,-4.00000000,21,3704
KH2,7,1,0,0,119,342.91603937,-2.66666667,11,7159
KH2,7,1,0,0,120,341.58270603,-1.33333333,12,7071
KH2,7,1,0,0,121,341.58270603,-0.00000000,8,8318
KH2,7,1,0,0,122,342.91603937,1.33333333,3,10308
KH2,7,1,0,0,123,345.58270603,2.66666667,23,2944
KH2,7,1,0,0,124,349.58270603,4.00000000,8,7879
KH2,7,1,0,0,125,354.91603937,5.33333333,29,508
KH2,7,1,0,0,126,361.13826159,6.22222222,28,516
KH2,8,1,0,1,127,368.24937270,7.11111111,0,10499
KH2,8,1,0,0,128,369.58270603,1.33333333,6,8660
KH2,8,1,0,0,129,372.24937270,2.66666667,22,2667
KH2,8,1,0,0,130,375.80492825,3.55555556,26,1091
KH2,8,1,0,1,131,380.24937270,4.44444444,0,10860
KH2,8,1,0,0,132,378.91603937,-1.33333333,5,9724
KH2,8,1,0,0,133,378.91603937,0.00000000,2,10467
KH2,8,1,0,0,134,379.80492825,0.88888889,8,8054
KH2,8,1,0,0,135,381.58270603,1.77777778,11,7188
KH2,8,1,0,0,136,384.24937270,2.66666667,27,868
KH2,8,1,0,0,137,387.80492825,3.55555556,19,4436
KH2,8,1,0,1,138,392.24937270,4.44444444,0,10888
KH2,8,1,0,0,139,390.91603937,-1.33333333,7,8282
KH2,8,1,0,1,140,390.91603937,0.00000000,0,10823
KH2,8,1,0,0,141,385.58270603,-5.33333333,19,3296
KH2,8,1,0,0,142,382.02715048,-3.55555556,13,6129
KH2,8,1,0,0,143,380.24937270,-1.77777778,2,10370
KH2,8,1,0,0,144,379.80492825,-0.44444444,8,8251
KH2,9,1,1,0,145,450.00000000,-0.44444444,18,2624
KH2,9,1,1,0,146,430.00000000,-0.44444444,21,2207
KH2,9,1,1,1,147,410.00000000,-0.44444444,0,10854
KH2,9,1,1,1,148,390.00000000,-0.44444444,0,10862
KH2,9,1,1,1,149,370.00000000,-0.44444444,0,10628
KH2,9,1,1,1,150,350.00000000,-0.44444444,0,10808
KH2,9,1,1,1,151,330.00000000,-0.44444444,0,10988
