gameNumber,successInStatic,isStatic,gameInterval,finalInterval
1,0,0,0,278
2,0,0,0,328
3,0,0,0,260
4,0,1,308,260
5,0,1,333,204
6,0,1,351,174
7,0,1,367,149
8,1,1,382,122
9,1,1,387,95
10,1,1,386,68
11,1,1,381,41
12,1,1,374,13
13,1,1,366,-16
14,1,1,357,-45
15,0,1,346,-71
16,1,1,338,-102
17,1,1,329,-134
