gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
98,0,0,466,304,-2.75000000
99,0,0,466,374,-2.75000000
100,0,0,466,422,-2.75000000
101,1,1,465,340,-0.25000000
102,1,1,462,296,-2.75000000
103,1,1,457,252,-4.75000000
104,1,1,450,206,-6.75000000
105,1,1,441,179,-8.75000000
106,1,1,430,155,-10.25000000
107,1,1,418,131,-11.25000000
108,1,1,405,106,-12.25000000
109,0,1,392,101,-12.75000000
110,0,1,383,80,-8.25000000
111,0,1,378,76,-4.25000000
112,0,1,377,56,-0.25000000
113,1,1,380,29,3.25000000
114,1,1,381,2,1.25000000
115,1,1,380,-25,-0.75000000
