gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
38,0,0,398,354,-4.75000000
39,0,0,398,346,-4.75000000
40,0,0,398,346,-4.75000000
41,1,1,396,294,-1.25000000
42,1,1,392,242,-3.25000000
43,1,1,386,194,-5.25000000
44,0,1,379,178,-6.75000000
45,0,1,375,166,-3.25000000
46,0,1,374,163,-0.25000000
47,0,1,376,141,2.25000000
48,1,1,380,114,4.75000000
49,0,1,382,98,2.25000000
50,1,1,386,72,4.75000000
51,0,1,387,55,1.75000000
52,1,1,391,29,4.25000000
53,1,1,392,3,1.25000000
54,1,1,390,-23,-1.75000000
55,1,1,385,-49,-4.75000000
56,0,1,377,-64,-7.25000000
