gameNumber,successInStatic,isStatic,gameInterval,finalInterval
76,0,0,391,230
77,0,0,391,390
78,0,0,391,284
79,1,1,387,230
80,1,1,380,186
81,1,1,371,158
82,1,1,360,129
83,1,1,348,99
84,0,1,335,82
85,0,1,326,82
86,1,1,321,49
87,0,1,315,37
88,1,1,313,4
89,1,1,310,-30
90,0,1,305,-62
91,1,1,304,-96
92,1,1,301,-131
93,0,1,296,-134
94,0,1,294,-160
