gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,364,367,1.50000000
2,0,0,364,473,1.50000000
3,0,0,364,391,1.50000000
4,1,1,366,333,2.00000000
5,0,1,363,293,-2.50000000
6,0,1,361,251,-1.50000000
7,0,1,360,239,-0.50000000
8,0,1,360,209,0.50000000
9,0,1,361,192,1.50000000
10,0,1,363,166,2.50000000
11,0,1,366,147,3.50000000
12,0,1,370,127,4.00000000
13,0,1,374,118,4.50000000
14,0,1,379,112,5.00000000
15,0,1,384,103,5.50000000
16,0,1,389,92,5.50000000
17,0,1,394,83,5.50000000
18,0,1,399,83,5.50000000
19,0,1,404,58,5.50000000
20,1,1,409,32,5.50000000
21,0,1,409,8,0.50000000
22,0,1,410,-3,1.00000000
23,0,1,411,-25,1.50000000
24,0,1,413,-32,2.00000000
25,1,1,415,-57,2.50000000
26,0,1,413,-70,-2.00000000
