Aikaleima	subId	kierros	f01	f02	f03	f04	f05	f06	f07	f08	f09	f10	f11	f12	f13	m01	m02	m03	group	virkeys	
3.14.2016 15:22:42	KH19	3	5	3	6	3	2	6	5	2	3	4	3	5	5	4	3	3	1	2	
3.15.2016 11:41:37	KH20	1	6	5	6	6	6	5	4	6	7	4	1	5	5	6	5	6	2	6	
3.15.2016 11:56:32	KH20	2	5	5	7	6	6	6	6	6	7	6	1	4	5	6	5	6	2	6	
3.15.2016 12:10:51	KH20	3	6	6	7	6	6	6	6	6	7	5	1	5	4	6	5	6	2	6	
3.15.2016 12:48:26	KH21	1	7	7	6	5	6	5	7	5	6	6	4	8	4	6	5	6	3	7	
3.15.2016 13:02:09	KH21	2	7	5	6	7	6	6	6	6	6	6	5	8	5	6	5	6	3	6	
3.15.2016 13:15:36	KH21	3	7	6	7	6	6	7	7	6	7	7	7	8	5	7	5	5	3	7	
3.15.2016 14:00:00	KH22	1	5	4	5	6	6	6	4	4	4	2	5	5	5	6	4	5	1	6	
3.15.2016 14:14:49	KH22	2	6	5	6	6	6	6	6	5	4	1	5	6	5	6	4	6	1	6	
3.15.2016 14:28:51	KH22	3	6	4	6	4	4	6	4	4	3	2	6	6	6	6	4	5	1	6	
3.16.2016 10:21:27	KH23	1	7	3	6	4	4	4	5	5	5	5	2	6	4	6	5	3	2	6	
3.16.2016 10:36:28	KH23	2	5	5	6	6	6	6	5	5	5	6	3	7	5	6	6	6	2	6	
3.16.2016 10:50:42	KH23	3	6	6	7	6	6	7	5	6	5	6	4	7	4	6	6	6	2	5	
3.16.2016 13:04:19	KH24	1	3	4	3	3	6	2	5	5	4	1	2	3	5	4	4	5	3	5	
3.16.2016 13:18:22	KH24	2	4	5	3	4	5	3	3	4	3	2	2	3	5	4	4	5	3	5	
3.16.2016 13:32:11	KH24	3	4	4	2	5	4	2	4	3	4	3	2	3	5	4	4	4	3	4	
3.16.2016 15:15:37	KH25	1	5	6	7	5	5	7	7	3	3	4	7	7	7	7	5	6	1	6	
3.16.2016 15:29:08	KH25	2	6	6	7	6	5	6	6	3	3	4	7	7	7	6	5	5	1	5	
3.16.2016 15:41:52	KH25	3	6	6	6	5	5	5	6	4	4	4	6	8	6	5	3	3	1	4	
3.17.2016 15:29:44	KH26	1	6	6	5	3	4	6	6	4	5	4	6	3	6	6	4	5	2	4	
3.17.2016 15:42:37	KH26	2	5	6	6	5	5	5	6	4	4	3	6	4	6	5	4	5	2	4	
3.17.2016 15:56:08	KH26	3	6	6	5	4	3	5	7	5	5	5	6	4	4	5	4	5	2	4	
3.17.2016 16:45:52	KH27	1	3	4	5	5	3	3	6	5	5	6	3	7	4	5	5	5	3	4	
3.17.2016 16:59:33	KH27	2	5	4	5	5	4	4	5	5	4	5	4	7	5	5	5	5	3	4	
3.17.2016 17:13:18	KH27	3	5	4	3	3	3	3	5	3	4	6	5	7	4	5	4	4	3	3	
3.18.2016 9:17:49	KH28	1	7	4	5	5	5	5	5	4	4	5	6	5	7	5	4	5	1	5	
3.18.2016 9:31:12	KH28	2	6	4	5	4	4	5	4	4	4	4	6	6	6	5	4	4	1	5	
3.18.2016 9:44:23	KH28	3	7	3	4	4	3	4	3	3	3	3	7	5	7	4	3	3	1	4	
3.18.2016 10:36:53	KH29	1	6	3	5	6	3	2	6	5	2	5	7	6	7	5	6	5	2	5	
3.18.2016 10:53:37	KH29	2	6	4	5	2	2	5	5	3	3	5	7	7	7	4	4	3	2	4	
3.18.2016 11:08:33	KH29	3	5	3	4	1	2	3	5	3	2	6	7	6	7	2	2	2	2	4	
3.18.2016 15:10:35	KH30	1	3	5	5	1	5	5	4	5	4	2	4	4	3	5	5	6	3	7	
3.18.2016 15:24:40	KH30	2	5	6	3	5	4	3	6	5	5	2	4	4	4	5	4	5	3	6	
3.18.2016 15:38:41	KH30	3	5	5	2	5	2	2	6	5	4	3	4	4	4	4	3	5	3	5	
3.23.2016 11:24:54	KH31	1	5	3	6	6	4	6	6	2	2	4	3	4	5	5	5	4	1	6	
3.23.2016 11:38:13	KH31	2	5	4	5	6	4	6	5	3	3	4	3	3	5	5	3	4	1	5	
3.23.2016 11:51:10	KH31	3	3	5	6	6	5	6	7	2	4	4	2	3	4	4	2	4	1	5	
3.26.2016 16:11:53	KH32	1	5	3	5	3	5	5	5	2	2	4	6	1	7	1	1	1	2	5	
3.26.2016 16:25:33	KH32	2	6	4	3	3	6	4	6	2	2	3	5	1	5	1	1	1	2	6	
3.26.2016 16:38:11	KH32	3	7	6	2	5	7	2	6	2	2	7	5	1	5	1	1	1	2	6	
3.26.2016 17:09:21	KH33	1	5	4	5	4	5	6	5	5	4	3	6	3	4	6	5	5	3	4	
3.26.2016 17:23:11	KH33	2	4	5	4	3	3	4	5	5	6	4	5	7	3	4	3	3	3	3	
3.26.2016 17:37:03	KH33	3	2	5	4	3	3	3	5	5	6	4	3	5	3	3	2	2	3	2	
3.29.2016 11:20:45	KH34	1	6	5	5	3	3	3	5	2	2	4	2	6	6	5	4	5	2	4	
3.29.2016 11:35:00	KH34	2	5	3	4	2	2	3	4	2	2	5	3	6	5	5	5	5	2	4	
3.29.2016 11:48:39	KH34	3	6	5	4	3	3	3	5	3	3	5	3	7	4	5	5	5	2	5	
